Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 & Over
,,Total (Number),,,,,,,,,,,,,,
Total,Total,"3,870,740","181,370","205,790","220,800","247,340","263,920","265,660","292,290","302,030","316,020","308,530","315,500","288,390","231,500","431,600"
Ang Mo Kio,Total,"178,260","7,150","8,080","8,760","9,600","10,550","11,460","13,250","13,640","14,140","13,530","14,340","13,840","12,910","27,000"
,Ang Mo Kio Town Centre,"4,970",260,290,300,300,250,290,380,450,490,390,370,310,290,620
,Cheng San,"30,400","1,310","1,260","1,380","1,450","1,610","1,930","2,690","2,500","2,540","2,290","2,390","2,320","2,290","4,430"
,Chong Boon,"28,660","1,010","1,150","1,250","1,440","1,530","1,890","2,210","2,210","2,120","2,180","2,290","2,290","2,200","4,880"
,Kebun Bahru,"24,530",820,"1,070","1,160","1,250","1,440","1,530","1,720","1,850","1,960","1,980","1,940","1,910","1,840","4,080"
,Sembawang Hills,"6,880",220,350,460,540,550,420,320,360,520,540,590,520,440,"1,030"
,Shangri-La,"19,190",820,870,930,"1,080","1,170","1,220","1,370","1,370","1,400","1,550","1,640","1,440","1,320","3,010"
,Tagore,"8,360",320,390,490,580,760,610,420,490,630,610,740,750,540,"1,040"
,Townsville,"24,160","1,190","1,100",970,"1,070","1,280","1,510","1,950","2,110","1,870","1,600","1,810","1,810","1,740","4,150"
,Yio Chu Kang,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Yio Chu Kang East,"4,200",160,200,250,330,340,280,250,240,320,280,370,390,290,510
,Yio Chu Kang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Yio Chu Kang West,"26,880","1,040","1,400","1,570","1,560","1,620","1,770","1,950","2,070","2,300","2,090","2,190","2,090","1,980","3,250"
Bedok,Total,"293,110","12,180","14,020","15,420","17,550","20,010","20,020","20,370","21,370","22,550","22,160","23,950","23,320","20,360","39,840"
,Bayshore,"7,430",450,530,450,380,350,320,550,790,920,730,540,410,370,650
,Bedok North,"88,230","3,540","3,920","4,570","5,100","5,870","5,830","6,430","6,510","6,520","6,730","7,450","6,930","6,340","12,510"
,Bedok Reservoir,"24,340","1,170","1,420","1,520","1,530","1,540","1,710","1,760","1,960","2,090","1,920","1,900","1,880","1,580","2,360"
,Bedok South,"52,300","2,140","2,440","2,650","3,150","3,500","3,520","3,390","3,530","3,860","3,950","4,200","4,160","3,760","8,060"
,Frankel,"33,110","1,580","2,030","1,780","1,970","2,020","1,880","2,030","2,720","3,100","2,600","2,410","2,220","2,100","4,680"
,Kaki Bukit,"41,890","1,600","1,860","2,250","2,860","3,460","3,480","3,020","2,790","2,820","2,900","3,760","3,780","2,900","4,410"
,Kembangan,"38,700","1,480","1,560","1,860","2,180","2,770","2,860","2,800","2,590","2,660","2,810","3,170","3,410","2,820","5,740"
,Siglap,"7,120",230,260,350,380,510,430,400,500,570,520,530,530,490,"1,430"
Bishan,Total,"91,920","3,590","4,500","4,890","5,880","6,960","6,340","5,890","6,290","7,290","7,050","7,820","7,710","6,280","11,450"
,Bishan East,"29,300","1,100","1,390","1,400","1,610","2,230","2,340","1,980","2,080","2,300","2,080","2,380","2,550","2,230","3,630"
,Marymount,"31,850","1,450","1,710","1,820","2,320","2,580","2,080","2,170","2,320","2,560","2,560","2,840","2,540","1,860","3,040"
,Upper Thomson,"30,780","1,030","1,400","1,670","1,960","2,150","1,920","1,740","1,890","2,430","2,420","2,600","2,620","2,180","4,780"
Boon Lay,Total,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Liu Fang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bukit Batok,Total,"141,560","5,870","7,290","8,490","9,450","10,180","10,750","10,310","10,500","11,270","11,670","12,500","11,720","8,690","12,880"
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Bukit Batok Central,"26,500","1,150","1,390","1,560","1,570","1,820","2,110","1,980","1,950","2,080","2,100","2,150","2,230","1,720","2,670"
,Bukit Batok East,"14,930",550,730,770,860,"1,030","1,240","1,180","1,130","1,120","1,140","1,330","1,360","1,040","1,460"
,Bukit Batok South,"14,170",570,710,900,"1,220","1,180","1,140",990,920,"1,090","1,230","1,360","1,200",730,930
,Bukit Batok West,"15,570",600,840,920,"1,000","1,040","1,150","1,210","1,170","1,200","1,220","1,380","1,300","1,050","1,490"
,Gombak,"9,660",600,570,470,540,550,610,920,"1,010",710,660,680,650,560,"1,140"
